ID,Name,Description,Extended_Description,Related_Weakness,Language,Technology,Likelihood_Of_Exploit,Consequence,CVE_Example
CWE-1279,Cryptographic Operations are run Before Supporting Units are Ready,Performing cryptographic operations without ensuring that the supporting inputs are ready to supply valid data may compromise the cryptographic result.,"Many cryptographic hardware units depend upon other hardware units to supply information to them to produce a securely encrypted result. For example, a cryptographic unit that depends on an external random-number-generator (RNG) unit for entropy must wait until the RNG unit is producing random numbers. If a cryptographic unit retrieves a private encryption key from a fuse unit, the fuse unit must be up and running before a key may be supplied.",ChildOf:696;ChildOf:665,Verilog;VHDL;Not Language-Specific,Processor Hardware;Not Technology-Specific,,Access Control;Confidentiality;Integrity;Availability;Accountability;Authentication;Authorization;Non-Repudiation,
CWE-128,Wrap-around Error,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore ""wraps around"" to a very small, negative, or undefined value.",,ChildOf:682;CanPrecede:119;PeerOf:190,C;C++,,Medium,Availability;Integrity;Confidentiality;Access Control,
CWE-1280,Access Control Check Implemented After Asset is Accessed,A product's hardware-based access control check occurs after the asset has been accessed.,"The product implements a hardware-based access control check. The asset should be accessible only after the check is successful. If, however, this operation is not atomic and the asset is accessed before the check is complete, the security of the system may be compromised.",ChildOf:696;ChildOf:284,Verilog;VHDL;Not Language-Specific,Not Technology-Specific,,Access Control;Confidentiality;Integrity,
CWE-1281,Sequence of Processor Instructions Leads to Unexpected Behavior,Specific combinations of processor instructions lead to undesirable behavior such as locking the processor until a hard reset performed.,"If the instruction set architecture (ISA) and processor logic are not designed carefully and tested thoroughly, certain combinations of instructions may lead to locking the processor or other unexpected and undesirable behavior. Upon encountering unimplemented instruction opcodes or illegal instruction operands, the processor should throw an exception and carry on without negatively impacting security. However, specific combinations of legal and illegal instructions may cause unexpected behavior with security implications such as allowing unprivileged programs to completely lock the CPU.",ChildOf:691,Not Language-Specific,Not Technology-Specific;Processor Hardware,,Integrity;Availability,CVE-2021-26339;CVE-1999-1476
CWE-1282,Assumed-Immutable Data is Stored in Writable Memory,"Immutable data, such as a first-stage bootloader, device identifiers, and ""write-once"" configuration settings are stored in writable memory that can be re-programmed or updated in the field.","Security services such as secure boot, authentication of code and data, and device attestation all require assets such as the first stage bootloader, public keys, golden hash digests, etc. which are implicitly trusted. Storing these assets in read-only memory (ROM), fuses, or one-time programmable (OTP) memory provides strong integrity guarantees and provides a root of trust for securing the rest of the system. Security is lost if assets assumed to be immutable can be modified.",ChildOf:668;CanPrecede:471,Not Language-Specific,Not Technology-Specific,,Integrity,
CWE-1283,Mutable Attestation or Measurement Reporting Data,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary.,"A System-on-Chip (SoC) implements secure boot or verified boot. During this boot flow, the SoC often measures the code that it authenticates. The measurement is usually done by calculating the one-way hash of the code binary and extending it to the previous hash. The hashing algorithm should be a Secure One-Way hash function. The final hash, i.e., the value obtained after the completion of the boot flow, serves as the measurement data used in reporting or in attestation. The calculated hash is often stored in registers that can later be read by the party of interest to determine tampering of the boot flow. A common weakness is that the contents in these registers are modifiable by an adversary, thus spoofing the measurement.",ChildOf:284,Not Language-Specific,Not Technology-Specific,,Confidentiality,
CWE-1284,Improper Validation of Specified Quantity in Input,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties.","Specified quantities include size, length, frequency, price, rate, number of operations, time, and others. Code may rely on specified quantities to allocate resources, perform calculations, control iteration, etc.",ChildOf:20;ChildOf:20;CanPrecede:789,Not Language-Specific,,,Other;Integrity;Availability,CVE-2025-46687;CVE-2019-19911;CVE-2008-1440;CVE-2008-2374
CWE-1285,"Improper Validation of Specified Index, Position, or Offset in Input","The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties.","Often, indexable resources such as memory buffers or files can be accessed using a specific position, index, or offset, such as an index for an array or a position for a file. When untrusted input is not properly validated before it is used as an index, attackers could access (or attempt to access) unauthorized portions of these resources. This could be used to cause buffer overflows, excessive resource allocation, or trigger unexpected failures.",ChildOf:20,Not Language-Specific,,,Other,CVE-2005-0369;CVE-2001-1009
CWE-1286,Improper Validation of Syntactic Correctness of Input,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax.","Often, complex inputs are expected to follow a particular syntax, which is either assumed by the input itself, or declared within metadata such as headers. The syntax could be for data exchange formats, markup languages, or even programming languages. When untrusted input is not properly validated for the expected syntax, attackers could cause parsing failures, trigger unexpected errors, or expose latent vulnerabilities that might not be directly exploitable if the input had conformed to the syntax.",ChildOf:20,Not Language-Specific,,,Other,CVE-2016-4029;CVE-2007-5893
CWE-1287,Improper Validation of Specified Type of Input,"The product receives input that is expected to be of a certain type, but it does not validate or incorrectly validates that the input is actually of the expected type.","When input does not comply with the expected type, attackers could trigger unexpected errors, cause incorrect actions to take place, or exploit latent vulnerabilities that would not be possible if the input conformed with the expected type. This weakness can appear in type-unsafe programming languages, or in programming languages that support casting or conversion of an input to another type.",ChildOf:20;PeerOf:843,Not Language-Specific,,,Other,CVE-2024-37032;CVE-2008-2223
CWE-1288,Improper Validation of Consistency within Input,"The product receives a complex input with multiple elements or fields that must be consistent with each other, but it does not validate or incorrectly validates that the input is actually consistent.","Some input data can be structured with multiple elements or fields that must be consistent with each other, e.g. a number-of-items field that is followed by the expected number of elements. When such complex inputs are inconsistent, attackers could trigger unexpected errors, cause incorrect actions to take place, or exploit latent vulnerabilities.",ChildOf:20,Not Language-Specific,,,Other,CVE-2018-16733;CVE-2006-3790;CVE-2008-4114
CWE-1289,Improper Validation of Unsafe Equivalence in Input,"The product receives an input value that is used as a resource identifier or other type of reference, but it does not validate or incorrectly validates that the input is equivalent to a potentially-unsafe value.","Attackers can sometimes bypass input validation schemes by finding inputs that appear to be safe, but will be dangerous when processed at a lower layer or by a downstream component. For example, a simple XSS protection mechanism might try to validate that an input has no ""<script>"" tags using case-sensitive matching, but since HTML is case-insensitive when processed by web browsers, an attacker could inject ""<ScrIpT>"" and trigger XSS.",ChildOf:20;PeerOf:41;PeerOf:178,Not Language-Specific,,,Other,CVE-2021-39155;CVE-2020-11053;CVE-2005-0269;CVE-2001-1238;CVE-2004-2214
CWE-129,Improper Validation of Array Index,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.",,ChildOf:1285;ChildOf:20;CanPrecede:119;CanPrecede:823;CanPrecede:789,C;C++;Not Language-Specific,,High,Integrity;Availability;Confidentiality,CVE-2005-0369;CVE-2001-1009;CVE-2003-0721;CVE-2004-1189;CVE-2007-5756;CVE-2005-2456
CWE-1290,Incorrect Decoding of Security Identifiers ,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset.","In a System-On-Chip (SoC), various integrated circuits and hardware engines generate transactions such as to access (reads/writes) assets or perform certain actions (e.g., reset, fetch, compute, etc.). Among various types of message information, a typical transaction is comprised of source identity (to identify the originator of the transaction) and a destination identity (to route the transaction to the respective entity). Sometimes the transactions are qualified with a security identifier. The security identifier helps the destination agent decide on the set of allowed actions (e.g., access an asset for read and writes). A decoder decodes the bus transactions to map security identifiers into necessary access-controls/protections. A common weakness that can exist in this scenario is incorrect decoding because an untrusted agent's security identifier is decoded into a trusted agent's security identifier. Thus, an untrusted agent previously without access to an asset can now gain access to the asset.",ChildOf:284;ChildOf:1294,Not Language-Specific,Bus/Interface Hardware;Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control,
CWE-1291,Public Key Re-Use for Signing both Debug and Production Code,The same public key is used for signing both debug and production code.,"A common usage of public-key cryptography is to verify the integrity and authenticity of another entity (for example a firmware binary). If a company wants to ensure that its firmware runs only on its own hardware, before the firmware runs, an encrypted hash of the firmware image will be decrypted with the public key and then verified against the now-computed hash of the firmware image. This means that the public key forms the root of trust, which necessitates that the public key itself must be protected and used properly. During the development phase, debug firmware enables many hardware debug hooks, debug modes, and debug messages for testing. Those debug facilities provide significant, additional views about the firmware's capability and, in some cases, additional capability into the chip or SoC. If compromised, these capabilities could be exploited by an attacker to take full control of the system. Once the product exits the manufacturing stage and enters production, it is good practice to use a different public key. Debug firmware images are known to leak. With the debug key being reused as the production key, the debug image will also work on the production image. Thus, it will open all the internal, debug capabilities to the attacker. If a different public key is used for the production image, even if the attacker gains access to the debug firmware image, they will not be able to run it on a production machine. Thus, damage will be limited to the intellectual property leakage resulting from the debug image.",ChildOf:693;PeerOf:321,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control;Accountability;Authentication;Authorization;Non-Repudiation;Other,
CWE-1292,Incorrect Conversion of Security Identifiers,"The product implements a conversion mechanism to map certain bus-transaction signals to security identifiers. However, if the conversion is incorrectly implemented, untrusted agents can gain unauthorized access to the asset.","In a System-On-Chip (SoC), various integrated circuits and hardware engines generate transactions such as to access (reads/writes) assets or perform certain actions (e.g., reset, fetch, compute, etc.). Among various types of message information, a typical transaction is comprised of source identity (to identify the originator of the transaction) and a destination identity (to route the transaction to the respective entity). Sometimes the transactions are qualified with a security identifier. This security identifier helps the destination agent decide on the set of allowed actions (e.g., access an asset for read and writes). A typical bus connects several leader and follower agents. Some follower agents implement bus protocols differently from leader agents. A protocol conversion happens at a bridge to seamlessly connect different protocols on the bus. One example is a system that implements a leader with the Advanced High-performance Bus (AHB) protocol and a follower with the Open-Core Protocol (OCP). A bridge AHB-to-OCP is needed to translate the transaction from one form to the other. A common weakness that can exist in this scenario is that this conversion between protocols is implemented incorrectly, whereupon an untrusted agent may gain unauthorized access to an asset.",ChildOf:284;ChildOf:1294,Not Language-Specific,Bus/Interface Hardware;Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control,
CWE-1293,Missing Source Correlation of Multiple Independent Data,"The product relies on one source of data, preventing the ability to detect if an adversary has compromised a data source.","To operate successfully, a product sometimes has to implicitly trust the integrity of an information source. When information is implicitly signed, one can ensure that the data was not tampered in transit. This does not ensure that the information source was not compromised when responding to a request. By requesting information from multiple sources, one can check if all of the data is the same. If they are not, the system should report the information sources that respond with a different or minority value as potentially compromised. If there are not enough answers to provide a majority or plurality of responses, the system should report all of the sources as potentially compromised. As the seriousness of the impact of incorrect integrity increases, so should the number of independent information sources that would need to be queried.",ChildOf:345;PeerOf:654,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity,
CWE-1294,Insecure Security Identifier Mechanism,"The System-on-Chip (SoC) implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Identifiers are not correctly implemented.","Systems-On-Chip (Integrated circuits and hardware engines) implement Security Identifiers to differentiate/identify actions originated from various agents. These actions could be 'read', 'write', 'program', 'reset', 'fetch', 'compute', etc. Security identifiers are generated and assigned to every agent in the System (SoC) that is either capable of generating an action or receiving an action from another agent. Every agent could be assigned a unique, Security Identifier based on its trust level or privileges. A broad class of flaws can exist in the Security Identifier process, including but not limited to missing security identifiers, improper conversion of security identifiers, incorrect generation of security identifiers, etc.",ChildOf:284,Not Language-Specific,Bus/Interface Hardware;Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control,
CWE-1295,Debug Messages Revealing Unnecessary Information,The product fails to adequately prevent the revealing of unnecessary and potentially sensitive system information within debugging messages.,"Debug messages are messages that help troubleshoot an issue by revealing the internal state of the system. For example, debug data in design can be exposed through internal memory array dumps or boot logs through interfaces like UART via TAP commands, scan chain, etc. Thus, the more information contained in a debug message, the easier it is to debug. However, there is also the risk of revealing information that could help an attacker either decipher a vulnerability, and/or gain a better understanding of the system. Thus, this extra information could lower the ""security by obscurity"" factor. While ""security by obscurity"" alone is insufficient, it can help as a part of ""Defense-in-depth"".",ChildOf:200;PeerOf:209,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control;Accountability;Authentication;Authorization;Non-Repudiation,CVE-2021-25476;CVE-2020-24491;CVE-2017-18326
CWE-1296,Incorrect Chaining or Granularity of Debug Components,The product's debug components contain incorrect chaining or granularity of debug components.,"For debugging and troubleshooting a chip, several hardware design elements are often implemented, including: Various Test Access Ports (TAPs) allow boundary scan commands to be executed. For scanning the internal components of a chip, there are scan cells that allow the chip to be used as a ""stimulus and response"" mechanism. Chipmakers might create custom methods to observe the internal components of their chips by placing various tracing hubs within their chip and creating hierarchical or interconnected structures among those hubs. Logic errors during design or synthesis could misconfigure the interconnection of the debug components, which could allow unintended access permissions.",ChildOf:284,Verilog;VHDL;Not Language-Specific,Processor Hardware;Not Technology-Specific,,Confidentiality;Integrity;Access Control;Authentication;Authorization;Availability;Accountability,CVE-2017-18347;CVE-2020-1791
CWE-1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,The product does not adequately protect confidential information on the device from being accessed by Outsourced Semiconductor Assembly and Test (OSAT) vendors.,"In contrast to complete vertical integration of architecting, designing, manufacturing, assembling, and testing chips all within a single organization, an organization can choose to simply architect and design a chip before outsourcing the rest of the process to OSAT entities (e.g., external foundries and test houses). In the latter example, the device enters an OSAT facility in a much more vulnerable pre-production stage where many debug and test modes are accessible. Therefore, the chipmaker must place a certain level of trust with the OSAT. To counter this, the chipmaker often requires the OSAT partner to enter into restrictive non-disclosure agreements (NDAs). Nonetheless, OSAT vendors likely have many customers, which increases the risk of accidental sharing of information. There may also be a security vulnerability in the information technology (IT) system of the OSAT facility. Alternatively, a malicious insider at the OSAT facility may carry out an insider attack. Considering these factors, it behooves the chipmaker to minimize any confidential information in the device that may be accessible to the OSAT vendor. Logic errors during design or synthesis could misconfigure the interconnection of the debug components, which could provide improper authorization to sensitive information.",ChildOf:285,Verilog;VHDL;Not Language-Specific,Processor Hardware;Not Technology-Specific,,Confidentiality;Integrity;Access Control;Authentication;Authorization;Availability;Accountability;Non-Repudiation,
CWE-1298,Hardware Logic Contains Race Conditions,A race condition in the hardware logic results in undermining security guarantees of the system.,"A race condition in logic circuits typically occurs when a logic gate gets inputs from signals that have traversed different paths while originating from the same source. Such inputs to the gate can change at slightly different times in response to a change in the source signal. This results in a timing error or a glitch (temporary or permanent) that causes the output to change to an unwanted state before settling back to the desired state. If such timing errors occur in access control logic or finite state machines that are implemented in security sensitive flows, an attacker might exploit them to circumvent existing protections.",ChildOf:362,Verilog;VHDL,System on Chip,,Access Control,
CWE-1299,Missing Protection Mechanism for Alternate Hardware Interface,The lack of protections on alternate paths to access control-protected assets (such as unprotected shadow registers and other external facing unguarded interfaces) allows an attacker to bypass existing protections to the asset that are only performed against the primary path.,"An asset inside a chip might have access-control protections through one interface. However, if all paths to the asset are not protected, an attacker might compromise the asset through alternate paths. These alternate paths could be through shadow or mirror registers inside the IP core, or could be paths from other external-facing interfaces to the IP core or SoC. Consider an SoC with various interfaces such as UART, SMBUS, PCIe, USB, etc. If access control is implemented for SoC internal registers only over the PCIe interface, then an attacker could still modify the SoC internal registers through alternate paths by coming through interfaces such as UART, SMBUS, USB, etc. Alternatively, attackers might be able to bypass existing protections by exploiting unprotected, shadow registers. Shadow registers and mirror registers typically refer to registers that can be accessed from multiple addresses. Writing to or reading from the aliased/mirrored address has the same effect as writing to the address of the main register. They are typically implemented within an IP core or SoC to temporarily hold certain data. These data will later be updated to the main register, and both registers will be in synch. If the shadow registers are not access-protected, attackers could simply initiate transactions to the shadow registers and compromise system security.",PeerOf:1191;ChildOf:420;ChildOf:288,Not Language-Specific,Microcontroller Hardware;Processor Hardware;Bus/Interface Hardware;Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control,CVE-2022-38399;CVE-2020-9285;CVE-2020-8004;CVE-2017-18293;CVE-2020-15483
CWE-13,ASP.NET Misconfiguration: Password in Configuration File,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,,ChildOf:260,ASP.NET,,,Access Control,
CWE-130,Improper Handling of Length Parameter Inconsistency,"The product parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data.","If an attacker can manipulate the length parameter associated with an input such that it is inconsistent with the actual length of the input, this can be leveraged to cause the target application to behave in unexpected, and possibly, malicious ways. One of the possible motives for doing so is to pass in arbitrarily large input to the application. Another possible motivation is the modification of application state by including invalid data for subsequent properties of the application. Such weaknesses commonly lead to attacks such as buffer overflows and execution of arbitrary code.",ChildOf:240;ChildOf:119;ChildOf:119;CanPrecede:805,C;C++;Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity,CVE-2014-0160;CVE-2009-2299;CVE-2001-0825;CVE-2001-1186;CVE-2001-0191;CVE-2003-0429;CVE-2000-0655;CVE-2004-0492;CVE-2004-0201;CVE-2003-0825;CVE-2004-0095;CVE-2004-0826;CVE-2004-0808;CVE-2002-1357;CVE-2004-0774;CVE-2004-0989;CVE-2004-0568;CVE-2003-0327;CVE-2003-0345;CVE-2004-0430;CVE-2005-0064;CVE-2004-0413;CVE-2004-0940;CVE-2002-1235;CVE-2005-3184
CWE-1300,Improper Protection of Physical Side Channels,"The device does not contain sufficient protection mechanisms to prevent physical side channels from exposing sensitive information due to patterns in physically observable phenomena such as variations in power consumption, electromagnetic emissions (EME), or acoustic emissions.","An adversary could monitor and measure physical phenomena to detect patterns and make inferences, even if it is not possible to extract the information in the digital domain. Physical side channels have been well-studied for decades in the context of breaking implementations of cryptographic algorithms or other attacks against security features. These side channels may be easily observed by an adversary with physical access to the device, or using a tool that is in close proximity. If the adversary can monitor hardware operation and correlate its data processing with power, EME, and acoustic measurements, the adversary might be able to recover of secret keys and data.",ChildOf:203;ChildOf:203,Not Language-Specific,Not Technology-Specific,,Confidentiality,CVE-2022-35888;CVE-2021-3011;CVE-2019-14353;CVE-2020-27211;CVE-2013-4576;CVE-2020-28368;CVE-2019-18673
CWE-1301,Insufficient or Incomplete Data Removal within Hardware Component,The product's data removal process does not completely delete all data and potentially sensitive information within hardware components.,"Physical properties of hardware devices, such as remanence of magnetic media, residual charge of ROMs/RAMs, or screen burn-in may still retain sensitive data after a data removal process has taken place and power is removed. Recovering data after erasure or overwriting is possible due to a phenomenon called data remanence. For example, if the same value is written repeatedly to a memory location, the corresponding memory cells can become physically altered to a degree such that even after the original data is erased that data can still be recovered through physical characterization of the memory cells.",ChildOf:226,Not Language-Specific,Not Technology-Specific,,Confidentiality,CVE-2019-8575
CWE-1302,Missing Source Identifier in Entity Transactions on a System-On-Chip (SOC),The product implements a security identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. A transaction is sent without a security identifier.,"In a System-On-Chip (SoC), various integrated circuits and hardware engines generate transactions such as to access (reads/writes) assets or perform certain actions (e.g., reset, fetch, compute). A typical transaction is comprised of source identity (to identify the originator of the transaction) and a destination identity (to route the transaction to the respective entity) in addition to much more information in the message. Sometimes the transactions are qualified with a Security Identifier. This Security Identifier helps the destination agent decide on the set of allowed or disallowed actions. A weakness that can exist in such transaction schemes is that the source agent does not consistently include the necessary Security Identifier with the transaction. If the Security Identifier is missing, the destination agent might drop the message (resulting in an inadvertent Denial-of-Service (DoS)) or take inappropriate action by default in its attempt to execute the transaction, resulting in privilege escalation or provision of unintended access.",ChildOf:1294,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity;Availability;Access Control,
CWE-1303,Non-Transparent Sharing of Microarchitectural Resources,"Hardware structures shared across execution contexts (e.g., caches and branch predictors) can violate the expected architecture isolation between contexts.","Modern processors use techniques such as out-of-order execution, speculation, prefetching, data forwarding, and caching to increase performance. Details about the implementation of these techniques are hidden from the programmer's view. This is problematic when the hardware implementation of these techniques results in resources being shared across supposedly isolated contexts. Contention for shared resources between different contexts opens covert channels that allow malicious programs executing in one context to recover information from another context. Some examples of shared micro-architectural resources that have been used to leak information between contexts are caches, branch prediction logic, and load or store buffers. Speculative and out-of-order execution provides an attacker with increased control over which data is leaked through the covert channel. If the extent of resource sharing between contexts in the design microarchitecture is undocumented, it is extremely difficult to ensure system assets are protected against disclosure.",ChildOf:1189;ChildOf:203,Not Language-Specific,Not Technology-Specific,,Confidentiality,
CWE-1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,"The product performs a power save/restore operation, but it does not ensure that the integrity of the configuration state is maintained and/or verified between the beginning and ending of the operation.","Before powering down, the Intellectual Property (IP) saves current state (S) to persistent storage such as flash or always-on memory in order to optimize the restore operation. During this process, an attacker with access to the persistent storage may alter (S) to a configuration that could potentially modify privileges, disable protections, and/or cause damage to the hardware. If the IP does not validate the configuration state stored in persistent memory, upon regaining power or becoming operational again, the IP could be compromised through the activation of an unwanted/harmful configuration.",ChildOf:284;PeerOf:345;PeerOf:1271,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity,
CWE-131,Incorrect Calculation of Buffer Size,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.",,ChildOf:682;ChildOf:682;ChildOf:682;ChildOf:682;CanPrecede:119,Memory-Unsafe;C;C++,,High,Integrity;Availability;Confidentiality,CVE-2025-46687;CVE-2025-27363;CVE-2020-17087;CVE-2004-1363;CVE-2004-0747;CVE-2005-2103;CVE-2005-3120;CVE-2003-0899;CVE-2001-0334;CVE-2001-0248;CVE-2001-0249;CVE-2002-0184;CVE-2004-0434;CVE-2002-1347;CVE-2005-0490;CVE-2004-0940;CVE-2008-0599
CWE-1310,Missing Ability to Patch ROM Code,Missing an ability to patch ROM code may leave a System or System-on-Chip (SoC) in a vulnerable state.,"A System or System-on-Chip (SoC) that implements a boot process utilizing security mechanisms such as Root-of-Trust (RoT) typically starts by executing code from a Read-only-Memory (ROM) component. The code in ROM is immutable, hence any security vulnerabilities discovered in the ROM code can never be fixed for the systems that are already in use. A common weakness is that the ROM does not have the ability to patch if security vulnerabilities are uncovered after the system gets shipped. This leaves the system in a vulnerable state where an adversary can compromise the SoC.",ChildOf:1329,Not Language-Specific,System on Chip,,Other,
CWE-1311,Improper Translation of Security Attributes by Fabric Bridge,The bridge incorrectly translates security attributes from either trusted to untrusted or from untrusted to trusted when converting from one fabric protocol to another.,"A bridge allows IP blocks supporting different fabric protocols to be integrated into the system. Fabric end-points or interfaces usually have dedicated signals to transport security attributes. For example, HPROT signals in AHB, AxPROT signals in AXI, and MReqInfo and SRespInfo signals in OCP. The values on these signals are used to indicate the security attributes of the transaction. These include the immutable hardware identity of the controller initiating the transaction, privilege level, and type of transaction (e.g., read/write, cacheable/non-cacheable, posted/non-posted). A weakness can arise if the bridge IP block, which translates the signals from the protocol used in the IP block endpoint to the protocol used by the central bus, does not properly translate the security attributes. As a result, the identity of the initiator could be translated from untrusted to trusted or vice-versa. This could result in access-control bypass, privilege escalation, or denial of service.",ChildOf:284,Verilog;VHDL,Not Technology-Specific,,Confidentiality;Integrity;Access Control,
CWE-1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,"The firewall in an on-chip fabric protects the main addressed region, but it does not protect any mirrored memory or memory-mapped-IO (MMIO) regions.","Few fabrics mirror memory and address ranges, where mirrored regions contain copies of the original data. This redundancy is used to achieve fault tolerance. Whatever protections the fabric firewall implements for the original region should also apply to the mirrored regions. If not, an attacker could bypass existing read/write protections by reading from/writing to the mirrored regions to leak or corrupt the original data.",ChildOf:284;PeerOf:1251,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity;Access Control,
CWE-1313,Hardware Allows Activation of Test or Debug Logic at Runtime,"During runtime, the hardware allows for test or debug logic (feature) to be activated, which allows for changing the state of the hardware. This feature can alter the intended behavior of the system and allow for alteration and leakage of sensitive data by an adversary.","An adversary can take advantage of test or debug logic that is made accessible through the hardware during normal operation to modify the intended behavior of the system. For example, an accessible Test/debug mode may allow read/write access to any system data. Using error injection (a common test/debug feature) during a transmit/receive operation on a bus, data may be modified to produce an unintended message. Similarly, confidentiality could be compromised by such features allowing access to secrets.",ChildOf:284,Not Language-Specific,Not Technology-Specific,,Confidentiality;Integrity;Availability,CVE-2021-33150;CVE-2021-0146
CWE-1314,Missing Write Protection for Parametric Data Values,"The device does not write-protect the parametric data values for sensors that scale the sensor value, allowing untrusted software to manipulate the apparent result and potentially damage hardware or cause operational failure.","Various sensors are used by hardware to detect any devices operating outside of the design limits. The threshold limit values are set by hardware fuses or trusted software such as the BIOS. These limits may be related to thermal, power, voltage, current, and frequency. Hardware mechanisms may be used to protect against alteration of the threshold limit values by untrusted software. The limit values are generally programmed in standard units for the type of value being read. However, the hardware-sensor blocks may report the settings in different units depending upon sensor design and operation. The raw sensor output value is converted to the desired units using a scale conversion based on the parametric data programmed into the sensor. The final converted value is then compared with the previously programmed limits. While the limit values are usually protected, the sensor parametric data values may not be. By changing the parametric data, safe operational limits may be bypassed.",ChildOf:862;PeerOf:1299,Not Language-Specific,Sensor Hardware,,Availability,CVE-2017-8252
CWE-1315,Improper Setting of Bus Controlling Capability in Fabric End-point,The bus controller enables bits in the fabric end-point to allow responder devices to control transactions on the fabric.,"To support reusability, certain fabric interfaces and end points provide a configurable register bit that allows IP blocks connected to the controller to access other peripherals connected to the fabric. This allows the end point to be used with devices that function as a controller or responder. If this bit is set by default in hardware, or if firmware incorrectly sets it later, a device intended to be a responder on a fabric is now capable of controlling transactions to other devices and might compromise system security.",ChildOf:284,Not Language-Specific,Not Technology-Specific,,Access Control,
CWE-1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,"The address map of the on-chip fabric has protected and unprotected regions overlapping, allowing an attacker to bypass access control to the overlapping portion of the protected region.","Various ranges can be defined in the system-address map, either in the memory or in Memory-Mapped-IO (MMIO) space. These ranges are usually defined using special range registers that contain information, such as base address and size. Address decoding is the process of determining for which range the incoming transaction is destined. To ensure isolation, ranges containing secret data are access-control protected. Occasionally, these ranges could overlap. The overlap could either be intentional (e.g. due to a limited number of range registers or limited choice in choosing size of the range) or unintentional (e.g. introduced by errors). Some hardware designs allow dynamic remapping of address ranges assigned to peripheral MMIO ranges. In such designs, intentional address overlaps can be created through misconfiguration by malicious software. When protected and unprotected ranges overlap, an attacker could send a transaction and potentially compromise the protections in place, violating the principle of least privilege.",ChildOf:284,Not Language-Specific,Bus/Interface Hardware;Not Technology-Specific,,Confidentiality;Integrity;Access Control;Authorization,CVE-2009-4419
CWE-1317,Improper Access Control in Fabric Bridge,"The product uses a fabric bridge for transactions between two Intellectual Property (IP) blocks, but the bridge does not properly perform the expected privilege, identity, or other access control checks between those IP blocks.","In hardware designs, different IP blocks are connected through interconnect-bus fabrics (e.g. AHB and OCP). Within a System on Chip (SoC), the IP block subsystems could be using different bus protocols. In such a case, the IP blocks are then linked to the central bus (and to other IP blocks) through a fabric bridge. Bridges are used as bus-interconnect-routing modules that link different protocols or separate, different segments of the overall SoC interconnect. For overall system security, it is important that the access-control privileges associated with any fabric transaction are consistently maintained and applied, even when they are routed or translated by a fabric bridge. A bridge that is connected to a fabric without security features forwards transactions to the slave without checking the privilege level of the master and results in a weakness in SoC access-control security. The same weakness occurs if a bridge does not check the hardware identity of the transaction received from the slave interface of the bridge.",ChildOf:284,Not Language-Specific,Processor Hardware;Not Technology-Specific,,Confidentiality;Integrity;Access Control;Availability,CVE-2019-6260
